ID,DESCRIPCION,PRODUCTO,PRESENTACION,CONTENIDO,PRECIO
1,"AGUAR, ROSADO",AGUARDIENTE,BT,750,170000
2,"AGUARD, DESQUITE",AGUARDIENTE,BT,750,120000
3,AMARILLO AGUARDI,AGUARDIENTE,BT,750,150000
4,AMARILLO MEDIA,AGUARDIENTE,MEDIA,375,75000
5,ANTIO AZUL  1050,AGUARDIENTE,CAJA,1050,160000
6,ANTIO AZUL 375ML,AGUARDIENTE,MEDIA,375,65000
7,ANTIO AZUL 750ML,AGUARDIENTE,BOTEL,750,130000
8,ANTIO VERDE 1050,AGUARDIENTE,CAJA,1050,150000
9,ANTIO VERDE 375,AGUARDIENTE,MEDIA,375,65000
10,ANTIOQUENO REAL,AGUARDIENTE,BT,750,150000
11,CRISTAL AGUARDIE,AGUARDIENTE,,750,120000
12,CRISTAL SIN AZUC,AGUARDIENTE,BOTEL,375,65000
13,CRISTAL SIN AZUC,AGUARDIENTE,BOTEL,750,120000
14,CRISTAL SIN AZUC,AGUARDIENTE,MEDIA,375,65000
15,CRISTAL TRADICIO,AGUARDIENTE,MEDIA,375,65000
16,NECTAR CLUB,AGUARDIENTE,NECTA,250,35000
17,NECTAR CLUB VERD,AGUARDIENTE,MEDIA,375,65000
18,NECTAR CLUB VERD,AGUARDIENTE,GARRA,2000,200000
19,NECTAR DORADO,AGUARDIENTE,BT,750,120000
20,NECTAR PREMIUM,AGUARDIENTE,BT,750,140000
21,NECTAR REPOSADO,AGUARDIENTE,BOTEL,700,140000
22,NECTAR ROJO,AGUARDIENTE,MEDIA,375,65000
23,NECTAR ROJO TRAD,AGUARDIENTE,BOTEL,750,120000
24,NECTAR SUGAR,AGUARDIENTE,MEDIA,375,65000
25,NECTAR SUGGAR SA,AGUARDIENTE,BT,750,120000
26,NECTAR VERDE,AGUARDIENTE,BT,750,120000
27,NECTAR VERDE,AGUARDIENTE,CAJA,1000,150000
28,SUGGAR CUARTO,AGUARDIENTE,1/4,250~,35000
29,3 CORDILLERA ROS,CERVEZA,BOTEL,24,10000
30,AGUILA CERO,CERVEZA,LATA,269,5000
31,AGUILA LIGHT LAT,CERVEZA,330CC,24,5000
32,AGUILA ORIGINAL,CERVEZA,LATA,24,5000
33,ANDINA,CERVEZA,LATA,30,5000
34,BUDWEISER BOTELL,CERVEZA,250CC,24,5000
35,BUDWEISER LATA,CERVEZA,269CC,24,5000
36,CLUB COLOMBIA RO,CERVEZA,LATA,330C,6000
37,CLUB LATA SURTID,CERVEZA,LATA,24,6000
38,CORONA,CERVEZA,BOTEL,330,10000
39,CORONITA,CERVEZA,BOTEL,24,6000
40,COSTENA BACANA,CERVEZA,LATA,330C,5000
41,HEINEKEN BOTELLA,CERVEZA,BOTEL,250,6000
42,MILLER LITE,CERVEZA,BOTEL,300,5000
43,MODELO,CERVEZA,BOTEL,330,12000
44,PERONI,CERVEZA,BOTEL,330,12000
45,POKER TRADICIONA,CERVEZA,LATA,24,5000
46,REDD'S CERVEZA,CERVEZA,LATA,269,6000
47,SOL CERVEZA,CERVEZA,BLANC,24,5000
48,STELLA ARTOIS,CERVEZA,BOTEL,330,10000
49,AVITORIAS SURTID,CHAMPAÑA,BOTEL,750,130000
50,CHAMPANA GRAN CE,CHAMPAÑA,BOTEL,750,30000
51,JP CHENET BLANCA,CHAMPAÑA,BT,750,80000
52,JP CHENET ROSE D,CHAMPAÑA,BT,750,75000
53,JP ROSADA MINI,CHAMPAÑA,BOTEL,200,45000
54,"JP, CHENET MORAD",CHAMPAÑA,BOTEL,750,80000
55,"JP, CHENET ROJA",CHAMPAÑA,BOTEL,750,80000
56,"JP, ROSADAA GRAN",CHAMPAÑA,BOTEL,750,80000
57,LUCKY ALASKA,CIGARRILLO,MEDIO,10,9000
58,LUCKY BLANCO,CIGARRILLO,MEDIO,10,9000
59,LUCKY ROJO MEDIO,CIGARRILLO,MEDIO,10,8000
60,MARLBORO FUSION,CIGARRILLO,MEDIO,10,9000
61,MARLBORO ROJO,CIGARRILLO,MEDIO,10,9000
62,MARLBORO SANDIA,CIGARRILLO,MEDIO,10,9000
63,ROTHMANS,CIGARRILLO,MEDIO,10,8000
64,COCTEL CUBA LIBR,COCTELES,LATA,295,12000
65,COCTEL DAIQUIRI,COCTELES,LATA,295,12000
66,COCTEL GIN TONIC,COCTELES,LATA,295,12000
67,COCTEL LOS CUATE,COCTELES,LATA,229,8000
68,COCTEL MOJITO,COCTELES,LATA,295,12000
69,LIKE SURTIDO,COCTELES,BOTEL,300,6000
70,CHEESETRIS 42G,COMIDA,PASAB,45,3000
71,CHEETOS CALAVERA,COMIDA,PAQUE,30,3000
72,CHETOS BOLIQUES,COMIDA,PAQUE,34,3000
73,CHETOS NATURAL,COMIDA,PAQUE,40,3000
74,CHETOS PICANTES,COMIDA,PAQUE,40,3000
75,CHICHARRON AMERI,COMIDA,PASAB,,12000
76,CHICHARRON FAMIL,COMIDA,"PQTE,",100,12000
77,CHOCLITOS PICANT,COMIDA,,40,3000
78,CHOKIS SURTIDA G,COMIDA,GALLE,40,2000
79,DE TODITO BBQ,COMIDA,PAQUE,165,12000
80,DE TODITO LIMON,COMIDA,PASAB,165,12000
81,DE TODITO MIX,COMIDA,PERSO,50,3500
82,DE TODITO POLLO,COMIDA,PASAB,50,3500
83,DETODITO BBQ,COMIDA,PAQUE,505,3500
84,"DETODITO LIM,FAM",COMIDA,"PQTE,",165,12000
85,DETODITO LIMON,COMIDA,PAQUE,50,3500
86,DETODITO MIX,COMIDA,PAQUE,165,12000
87,DETODITO NATURAL,COMIDA,PAQUE,165,12000
88,DETODITOS NATURA,COMIDA,PASAB,55,3500
89,DORITOS DINAMITA,COMIDA,PAQUE,50,3000
90,DORITOS FLAMIN H,COMIDA,PAQUE,41,3000
91,DORITOS MEGAQUES,COMIDA,PAQUE,34,3000
92,MANI ARANDANOS,COMIDA,PAQUE,40,3000
93,MANI ARANDANOS,COMIDA,PAQUE,24,3000
94,MANI FLAMIN HOT,COMIDA,PAQUE,35,3000
95,MANI LIMON PIMIE,COMIDA,PAQUE,12,3000
96,MANI MOTO SAL PA,COMIDA,PAQUE,36,3000
97,MANI MOTO TRADI,COMIDA,PAQUE,44,3000
98,MANIMOTO LIMON,COMIDA,PASAB,42,3000
99,MANIMOTO NATURAL,COMIDA,PASAB,,3000
100,MARGAR OND TOMAT,COMIDA,PAQUE,35,3000
